,skills_clean,education,experience_years,job_role
169,"('photography', 'composition', 'negotiation', 'rust', 'critical thinking', 'lighting', 'client service', 'editing software', 'flutter', 'creativity', 'communication')",Associate in Photography,1,Photographer
170,"('problem solving', 'curation', 'communication', 'art knowledge', 'management', 'ios', 'shell scripting', 'project management', 'research')",Museum Studies,3,Museum Curator
171,"('video shooting', 'figma', 'creativity', 'confluence', 'python', 'lighting', 'technical skills', 'storytelling', 'editing')",Associate in Videography,4,Videographer
172,"('problem solving', 'ansible', 'networking', 'documentation', 'troubleshooting', 'javascript', 'hardware installation', 'aws', 'creativity', 'customer service')",High School,1,IT Field Technician
173,"('mentoring', 'health knowledge', 'equipment', 'business skills', 'decision making', 'leadership', 'livestock care', 'problem solving')",Experience,4,Livestock Manager
174,"('aws', 'security protocols', 'networking', 'risk analysis', 'firewalls', 'encryption', 'html', 'penetration testing', 'oracle', 'strategic planning', 'docker')",Security Certification,2,Cybersecurity Specialist
175,"('production management', 'problem solving', 'serverless', 'technical knowledge', 'leadership', 'graphql', 'creativity', 'communication')",Bachelor's in Communications,1,Producer
176,"('p&l management', 'leadership', 'marketing', 'compliance', 'communication', 'employee relations', 'compensation', 'recruitment', 'figma')",Bachelor's in HR,2,HR Manager
177,"('unreal engine', 'ar/vr platforms', 'tensorflow', 'presentation skills', 'microservices', 'problem solving', '3d graphics', 'unity', 'c#')",Bachelor's in Computer Science,5,AR/VR Developer
178,"('rust', 'performance tuning', 'strategic planning', 'data analysis', 'data warehouse design', 'sql', 'scala', 'etl', 'gcp', 'dimensional modeling')",Master's in IT,6,Data Warehouse Architect
179,"('docker', 'problem solving', 'concurrency', 'microservices', 'ios', 'adobe creative suite', 'api development', 'go', 'agile')",Bachelor's in Computer Science,3,Go Developer
180,"('safety management', 'problem solving', 'communication', 'scala', 'regulatory knowledge', 'tensorflow', 'risk assessment', 'leadership', 'p&l management')",Safety Certification,2,Safety Engineer
181,"('linq', 'scala', 'azure', 'c#', 'security architecture', 'api development', 'sql', '.net framework')",Bachelor's in Computer Science,0,C# Developer
182,"('leadership', 'creativity', 'ansible', 'culinary skills', 'kitchen management', 'android', 'recipe development', 'food safety', 'project management')",Culinary School,6,Head Chef
183,"('technical knowledge', 'mysql', 'adobe creative suite', 'communication', 'sales engineering', 'rest api', 'microservices', 'ruby', 'client relations', 'problem solving', 'product demonstration')",Bachelor's in Computer Science,2,Pre-Sales Engineer
184,"('research', 'geology', 'angular', 'analysis', 'problem solving', 'query optimization', 'field work', 'confluence', 'security protocols', 'technical knowledge')",Bachelor's in Geology,4,Geologist
185,"('sql', 'ruby', 'distributed computing', 'prototyping', 'flutter', 'scala', 'figma', 'big data', 'statistics', 'python', 'apache spark')",Bachelor's in Computer Science,3,Spark Developer
186,"('empathy', 'critical thinking', 'flutter', 'patient communication', 'ansible', 'counseling', 'research', 'psychological assessment')",Master's or PhD in Psychology,3,Psychologist
187,"('c#', 'customer service', 'angular', 'information management', 'budget management', 'research', 'decision making', 'communication', 'technology', 'organization')",Master's in Library Science,0,Librarian
188,"('rust', 'docker', 'microservices', 'communication', 'empathy', 'case management', 'counseling', 'crisis intervention', 'problem solving')",MSW License,3,Social Worker
189,"('c#', 'data quality', 'performance tuning', 'data integration', 'adobe creative suite', 'informatica', 'time management', 'sql', 'pytorch', 'etl', 'creativity')",Bachelor's in IT,4,Informatica Developer
190,"('customer service', 'machine learning', 'team work', 'bartending', 'communication', 'problem solving', 'scikit-learn', 'creativity', 'ci/cd', 'memory')",Bartending Certification,2,Bartender
191,"('empathy', 'decision making', 'diagnosis', 'encryption', 'patient communication', 'node.js', 'treatment', 'medical knowledge')",License to Practice,3,Physician
192,"('analytics', 'content strategy', 'social media', 'email marketing', 'responsive design', 'sales', 'seo', 'sem')",Bachelor's in Marketing,1,Digital Marketing Manager
193,"('ui/ux design', 'vue.js', 'node.js', 'prototyping', 'css', 'html', 'react', 'javascript')",Diploma in IT,4,Frontend Developer
194,"('problem solving', 'encryption', 'network security', 'technical knowledge', 'time management', 'hvac systems', 'equipment', 'troubleshooting', 'safety')",Trade School,3,HVAC Technician
195,"('environmental knowledge', 'deep learning', 'problem solving', 'conservation', 'query optimization', 'public safety', 'statistics', 'communication', 'outdoor skills')",Bachelor's in Environmental Science,1,Park Ranger
196,"('network security', 'xcode', 'rest api', 'risk assessment', 'mobile design', 'c++', 'wireframing', 'swift', 'ios sdk', 'objective-c')",Bachelor's in Computer Science,3,Mobile Developer iOS
197,"('shell scripting', 'staff management', 'statistics', 'communication', 'responsive design', 'deep learning', 'leadership', 'business development', 'budget control', 'hotel management', 'customer service')",Bachelor's in Hospitality Management,4,Hotel Manager
198,"('adaptability', 'technical knowledge', 'problem solving', 'safety', 'welding', 'physical stamina', 'swift', 'precision')",Welding Certification,2,Welder
199,"('communication', 'mentoring', 'negotiation', 'kotlin', 'project management', 'mobile ui/ux', 'sales strategy', 'team leadership', 'crm', 'target setting', 'adobe creative suite')",Bachelor's in Sales,2,Sales Manager
200,"('java', 'user interface', 'react native', 'wireframing', 'spring boot', 'power bi', 'rest api', 'maven', 'microservices', 'responsive design', 'sql')",Bachelor's in Computer Science,4,Java Backend Developer
201,"('content strategy', 'sem', 'email marketing', 'analytics', 'security architecture', 'seo', 'social media', 'jupyter')",Digital Marketing Certification,4,Digital Marketing Manager
202,"('system programming', 'azure', 'oracle', 'c++', 'problem solving', 'debugging', 'wireframing', 'performance', 'memory management', 'go')",Bachelor's in Computer Science,4,C++ Developer
203,"('business acumen', 'perl', 'flask', 'solution design', 'java', 'python', 'leadership', 'system architecture', 'communication', 'technical expertise', 'security protocols')",Master's in Computer Science,6,Solution Architect
204,"('staff management', 'financial management', 'restaurant management', 'leadership', 'customer service', 'prototyping', 'ci/cd', 'communication')",High School,1,Restaurant Manager
205,"('kotlin', 'p&l management', 'android sdk', 'rest api', 'tensorflow', 'mobile design', 'xml', 'java')",Bachelor's in Computer Science,4,Mobile Developer Android
206,"('social media', 'oracle', 'analytics', 'content strategy', 'sem', 'query optimization', 'email marketing', 'seo')",Bachelor's in Marketing,5,Digital Marketing Manager
207,"('database design', 'python', 'perl', 'api development', 'sql', 'java', 'node.js', 'serverless', 'terraform')",Bachelor's in Computer Science,4,Backend Developer
208,"('problem solving', 'data analysis', 'adobe creative suite', 'writing', 'responsive design', 'encryption', 'scientific knowledge', 'leadership', 'experimentation', 'research')",PhD,1,Research Scientist
209,"('design thinking', 'graphic design', 'wireframing', 'user research', 'prototyping', 'android', 'communication', 'network security', 'usability testing', 'shell scripting')",Bachelor's in Design,3,UX Designer
210,"('risk assessment', 'business acumen', 'android development', 'coroutines', 'user interface', 'mobile development', 'perl', 'shell scripting', 'problem solving', 'kotlin', 'java interop')",Bachelor's in Computer Science,2,Kotlin Developer
211,"('perl', 'responsibility', 'mobile ui/ux', 'technical knowledge', 'decision making', 'safety', 'navigation', 'flying', 'ios')",Commercial Pilot License,2,Pilot
212,"('vision', 'business acumen', 'department management', 'security architecture', 'communication', 'business development', 'negotiation', 'strategic leadership', 'decision making', 'encryption')",MBA,9,Vice President
213,"('laboratory work', 'marketing', 'precision', 'microbiology', 'php', 'mobile ui/ux', 'problem solving', 'encryption', 'adobe creative suite', 'data analysis', 'research')",Master's in Microbiology,2,Microbiologist
214,"('negotiation', 'mobile design', 'ios sdk', 'swift', 'rest api', 'figma', 'confluence', 'objective-c', 'xcode', 'mongodb')",Bachelor's in Computer Science,5,Mobile Developer iOS
215,"('security protocols', 'documentation', 'incident response', 'siem', 'wireframing', 'jira', 'communication', 'log analysis', 'threat detection', 'react native', 'r')",Security Certification,2,SOC Analyst
216,"('attention to detail', 'laboratory analysis', 'django', 'data analysis', 'postgresql', 'sql', 'safety', 'time management', 'quality control', 'equipment maintenance')",Bachelor's in Clinical Laboratory Science,0,Clinical Lab Scientist
217,"('hacking tools', 'security', 'graphql', 'docker', 'penetration testing', 'vulnerability research', 'networking', 'leadership', 'mobile ui/ux', 'problem solving')",CEH Certification,6,Ethical Hacker
218,"('agile', 'backlog management', 'leadership', 'business acumen', 'scikit-learn', 'vue.js', 'product strategy', 'confluence', 'communication')",Bachelor's in Business,1,Product Owner
219,"('time management', 'kubernetes', 'organization', 'oracle', 'communication', 'shell scripting', 'safety', 'driving', 'customer service', 'kotlin', 'kanban')",Driver's License,2,Delivery Driver
220,"('sap', 'configuration', 'enterprise systems', 'r', 'abap', 'security architecture', 'shell scripting', 'sql', 'problem solving', 'rust')",Bachelor's in IT,2,SAP Developer
221,"('audit procedures', 'pytorch', 'communication', 'aws', 'perl', 'risk assessment', 'mobile ui/ux', 'mongodb', 'leadership', 'internal controls', 'compliance')",CPA,8,Audit Manager
222,"('safety', 'problem solving', 'oracle', 'risk assessment', 'navigation', 'customer service', 'communication', 'driving')",High School,0,Taxi Driver
223,"('redis', 'sales strategy', 'communication', 'team leadership', 'mentoring', 'target setting', 'scrum', 'terraform', 'crm', 'scikit-learn', 'negotiation')",Bachelor's in Business,2,Sales Manager
224,"('communication', 'technical skills', 'critical thinking', 'graphql', 'ios', 'social media', 'video production', 'machine learning', 'mentoring', 'creativity', 'content creation')",High School,0,Content Creator
225,"('research', 'corporate law', 'market research', 'kanban', 'communication', 'contract negotiation', 'java', 'strategic thinking', 'writing', 'seo', 'scrum')",Bar License,2,Corporate Lawyer
226,"('email campaign management', 'segmentation', 'copywriting', 'creativity', 'analytics', 'automation platforms', 'deep learning', 'a/b testing', 'time management', 'flask')",Bachelor's in Marketing,1,Email Marketing Specialist
227,"('safety', 'awareness', 'html', 'responsibility', 'communication', 'shell scripting', 'security', 'problem solving')",Security Training,1,Security Guard
228,"('content creation', 'presentation skills', 'mongodb', 'communication', 'technical skills', 'creativity', 'app testing', 'social media', 'video production', 'oracle', 'business acumen')",High School,1,Content Creator
229,"('communication', 'analytics', 'campaign management', 'negotiation', 'budget management', 'market research', 'kotlin', 'php', 'data analysis', 'brand strategy', 'leadership')",Bachelor's in Marketing,3,Marketing Manager
